,time,ID,01VCU_Tx_trqMCUFL,02VCU_Tx_nMCUFL,03VCU_Tx_stMCUFLKeyOn,04VCU_Tx_stMCUFLActDischrg,05VCU_Tx_stMCUFLActSC,06VCU_Tx_stMCUFLReq,07VCU_Tx_stMCUCFLMod,08VCU_Tx_stMCUFLTrqFlg,09VCU_Tx_stMCUFLNFlg,10VCU_Tx_ctRolling5,11VCU_Tx_numChkS5
76,43.321763,512,30000,32769,1,0,0,0,0,0,0,8,216
77,43.891768,512,30000,32769,1,0,0,0,0,0,0,1,72
78,44.461349,512,30000,32769,1,0,0,0,0,0,0,10,184
79,45.031776,512,30000,32769,1,0,0,0,0,0,0,3,40
80,45.601766999999995,512,30000,32769,1,0,0,0,0,0,0,12,152
81,46.171759,512,30000,32769,1,0,0,0,0,0,0,5,8
82,46.741757,512,30000,32769,1,0,0,0,0,0,0,14,120
83,47.31176,512,30000,32769,1,0,0,0,0,0,0,7,232
84,47.881769,512,30000,32769,1,0,0,0,0,0,0,0,88
85,48.451756,512,30000,32769,1,0,0,0,0,0,0,9,200
86,49.021762,512,30000,32769,1,0,0,0,0,0,0,2,56
87,49.591757,512,30000,32769,1,0,0,0,0,0,0,11,168
88,50.161341,512,30000,32769,1,0,0,0,0,0,0,4,24
89,50.731753999999995,512,30000,32769,1,0,0,0,0,0,0,13,136
90,51.301742,512,30000,32769,1,0,0,0,0,0,0,6,248
91,51.871757,512,30000,32769,1,0,0,0,0,0,0,15,104
92,52.44175,512,30000,32769,1,0,0,0,0,0,0,8,216
93,53.011754,512,30000,32769,1,0,0,0,0,0,0,1,72
94,53.581755,512,30000,32769,1,0,0,0,0,0,0,10,184
95,54.151736,512,30000,32769,1,0,0,0,0,0,0,3,40
96,54.72171700000001,512,30000,32769,1,0,0,0,0,0,0,12,152
97,55.29170799999999,512,30000,32769,1,0,0,0,0,0,0,5,8
98,55.861326,512,30000,32769,1,0,0,0,0,0,0,14,120
99,56.431729000000004,512,30000,32769,1,0,0,0,0,0,0,7,232
100,57.001712,512,30000,32769,1,0,0,0,0,0,0,0,88
101,57.57169200000001,512,30000,32769,1,0,0,0,0,0,0,9,200
102,58.141695,512,30000,32769,1,0,0,0,0,0,0,2,56
103,58.711698,512,30000,32769,1,0,0,0,0,0,0,11,168
104,59.28170600000001,512,30000,32769,1,0,0,0,0,0,0,4,24
105,59.851702,512,30000,32769,1,0,0,0,0,0,0,13,136
106,60.42167900000001,512,30000,32769,1,0,0,0,0,0,0,6,248
107,60.991673999999996,512,30000,32769,1,0,0,0,0,0,0,15,104
108,61.561314,512,30000,32769,1,0,0,0,0,0,0,8,216
109,62.131666,512,30000,32769,1,0,0,0,0,0,0,1,72
110,62.701653,512,30000,32769,1,0,0,0,0,0,0,10,184
111,63.271696,512,30000,32769,1,0,0,0,0,0,0,3,40
